"","V1","V2","V3","V4","V5","V6"
"1",0.478185393934546,0.771264655556879,0.198635982066335,0.791403588396497,0.6875630076995,0.217855503345781
"2",0.251550678533677,0.311777074482234,0.322802032291656,0.200081229694188,0.555106549104967,0.772292984596861
"3",0.719688868737721,0.317611063013319,0.164658222071303,0.539760394781479,0.54068174568325,0.692401334686147
"4",0.480051575987891,0.223512263334706,0.253031200536352,0.643846078468196,0.455558869031956,0.26114826777688
"5",0.79814082211582,0.333956511448778,0.570569056873501,0.332086215991876,0.223688224290672,0.849986834059528
"6",0.556107975673222,0.199693901638093,0.239789774297096,0.244289986111107,0.394411443880235,0.2044285068303
"7",0.338447058890597,0.434761107749655,0.264644326888956,0.502281834132446,0.171687379278301,0.781291905730322
"8",0.289579051100591,0.237626471233671,0.151914732029545,0.369402859250549,0.591977891951683,0.754545100123505
"9",0.610628335028596,0.693843164030404,0.188633847424644,0.499100240423577,0.209333064350358,0.404239462210389
"10",0.167837015429395,0.260348242741893,0.579240343152778,0.312074912412209,0.194029788402549,0.251481199408881
"11",0.538143797280791,0.510942732010735,0.702520095685613,0.232236797294463,0.788127906264272,0.680849120070925
"12",0.637235429327993,0.386508057160245,0.668851930921665,0.731293619339122,0.863743135126133,0.707728296589921
"13",0.673045705337136,0.76499959984154,0.663783245162049,0.249064222046582,0.198168924917118,0.45071211902512
"14",0.450062199493404,0.302611707540636,0.765129425741616,0.215602475765336,0.530711260747048,0.229751497440739
"15",0.484227394072805,0.729866697206453,0.625205516006099,0.522054082234972,0.685100541611319,0.733407414186513
"16",0.271696181559237,0.760135336435633,0.230177918982808,0.513057045853056,0.389618630508776,0.609586942110036
"17",0.353599923792062,0.299246757353249,0.71838864046731,0.699533209482906,0.782783060223737,0.318081390119041
"18",0.821159529516008,0.60445738423703,0.754394431571127,0.288652428224159,0.255393748698116,0.312602613126219
"19",0.761826274365594,0.274488493358076,0.67144241700269,0.746328893487516,0.281642871588119,0.834306446975097
"20",0.763073636282643,0.295041135549836,0.221350346422114,0.635095098310849,0.796156901456707,0.760555290702614
"21",0.44038016056671,0.601184788555547,0.545614682232554,0.196138992498163,0.242203371241339,0.338543781261251
"22",0.237647709227167,0.252952666474157,0.675248650783033,0.154521842552349,0.349778961692355,0.587006268523692
"23",0.387917637189385,0.225821761643165,0.272179196384968,0.668055500089249,0.68053940425365,0.70430372667237
"24",0.332717535147094,0.733223090170941,0.212887769000081,0.755675905487733,0.429784377564793,0.195113850768248
"25",0.425351158459962,0.698449703071965,0.821081585183274,0.348343550926074,0.330763479029993,0.759873281103792
"26",0.371255987456825,0.350877294717939,0.381225220147753,0.168115226036753,0.851519942475425,0.718617978232796
"27",0.232816924702493,0.399463257256139,0.59620654194674,0.556807243349904,0.423804363602831,0.86107423811045
