omega_matter,w,abs_mag,delta_mag,alpha,beta,exact_1,exact_2,exact_3,exact_4,exact_5,exact_6,first_1,first_2,first_3,first_4,first_5,first_6,second_1,second_2,second_3,second_4,second_5,second_6,exact_minus_first_1,exact_minus_first_2,exact_minus_first_3,exact_minus_first_4,exact_minus_first_5,exact_minus_first_6,exact_minus_second_1,exact_minus_second_2,exact_minus_second_3,exact_minus_second_4,exact_minus_second_5,exact_minus_second_6
0.16157933,-1.1948662,-18.987736,-0.042940527,0.12886046,2.650755,-1171.4855,-546.5738,701.2022,0.9260781,15.047758,33.714382,-1171.8328,-546.1,701.24084,0.9239477,15.043715,33.709316,-1171.517,-546.5487,701.20483,0.9261124,15.047742,33.713715,0.34729004,-0.47381592,-0.038635254,0.0021303892,0.004043579,0.005065918,0.03149414,-0.02508545,-0.0026245117,-3.4332275e-05,1.6212463e-05,0.000667572
0.31210637,-1.1749822,-19.005484,-0.025229884,0.13290024,2.716516,-1161.0803,-545.7779,700.88544,1.9499383,15.737958,34.68053,-1165.0266,-545.6678,700.8373,1.9536817,15.744406,34.686516,-1160.8141,-546.0792,700.8392,1.9531603,15.743599,34.68663,3.946289,-0.11010742,0.04815674,-0.00374341,-0.006447792,-0.00598526,-0.26623535,0.30133057,0.04626465,-0.0032219887,-0.0056409836,-0.006099701
0.39185372,-0.62962157,-19.00675,-0.044685565,0.12859513,2.732493,-1147.9946,-542.5673,700.3968,0.85926694,15.007226,34.92345,-1146.3711,-542.83966,700.39465,0.85932714,15.007398,34.92389,-1148.3411,-542.3682,700.41266,0.8582094,15.005296,34.92182,-1.6235352,0.27233887,0.0021362305,-6.020069e-05,-0.00017166138,-0.0004386902,0.34643555,-0.19909668,-0.01586914,0.0010575652,0.0019302368,0.0016288757
0.15352683,-0.58411336,-19.028233,-0.036398597,0.13267095,2.708563,-1152.5598,-542.1899,699.6672,1.4118314,15.704297,34.568436,-1152.819,-542.1525,699.6683,1.4117302,15.704099,34.568375,-1152.557,-542.1886,699.6677,1.4117308,15.704175,34.568546,0.25915527,-0.037353516,-0.0010986328,0.00010120869,0.00019836426,6.1035156e-05,-0.0028076172,-0.0012817383,-0.0005493164,0.00010061264,0.00012207031,-0.00011062622
0.33638242,-0.7450592,-19.00033,-0.029266313,0.13345805,2.6543276,-1152.4587,-543.4963,701.0028,1.7624508,15.832059,33.761246,-1152.2947,-543.69293,700.99286,1.7630998,15.8331585,33.762363,-1152.4773,-543.46533,701.00836,1.7620345,15.831283,33.760708,-0.1640625,0.19665527,0.0099487305,-0.0006489754,-0.0010995865,-0.0011177063,0.018554688,-0.030944824,-0.005554199,0.00041627884,0.0007762909,0.0005378723
0.43771702,-1.0896418,-18.99846,-0.040877484,0.12942973,2.7175477,-1153.9873,-544.7023,700.9036,1.0636882,15.139591,34.692463,-1158.2106,-545.31366,700.82367,1.0689937,15.148947,34.701786,-1153.0156,-545.1842,700.87726,1.0650465,15.1420355,34.696255,4.2232666,0.61138916,0.079956055,-0.0053055286,-0.009355545,-0.00932312,-0.9716797,0.4819336,0.026367188,-0.0013583899,-0.0024442673,-0.003791809
0.2109565,-0.83503526,-19.022373,-0.028659265,0.12913041,2.658344,-1158.1392,-543.63696,700.0247,1.6149318,15.090825,33.822044,-1158.407,-543.611,700.02405,1.6150438,15.090915,33.822006,-1158.1381,-543.64056,700.02405,1.6149929,15.090931,33.82224,0.26782227,-0.025939941,0.0006713867,-0.00011193752,-8.9645386e-05,3.8146973e-05,-0.0010986328,0.0036010742,0.0006713867,-6.1035156e-05,-0.00010585785,-0.00019454956
0.4567618,-0.47779298,-19.005053,-0.043054026,0.1348766,2.7194004,-1143.8967,-541.8989,700.5435,1.1916934,16.085493,34.73081,-1139.7611,-542.1367,700.5567,1.1908673,16.083834,34.729458,-1145.1158,-541.33514,700.5683,1.1901653,16.082695,34.72798,-4.13562,0.23779297,-0.013183594,0.0008261204,0.0016593933,0.0013504028,1.2191162,-0.56378174,-0.024780273,0.0015281439,0.0027980804,0.0028266907
0.061217144,-0.8608967,-19.000969,-0.049846746,0.13255666,2.68087,-1166.6909,-543.78424,700.5993,0.7586955,15.680289,34.15561,-1165.1572,-544.0707,700.58875,0.7593947,15.681417,34.15697,-1166.4293,-543.9342,700.5874,0.7594842,15.68157,34.156864,-1.5336914,0.286438,0.010559082,-0.0006992221,-0.0011281967,-0.0013618469,-0.26159668,0.14996338,0.0119018555,-0.00078868866,-0.0012807846,-0.0012550354
0.3339991,-0.42942095,-18.99904,-0.025375085,0.12819582,2.7104201,-1145.8893,-542.2287,701.0485,1.7518052,14.938243,34.59764,-1143.5006,-542.218,701.06366,1.7508464,14.936335,34.595978,-1146.3816,-542.0415,701.0495,1.7518249,14.938083,34.597538,-2.3886719,-0.010681152,-0.015136719,0.0009588003,0.0019083023,0.001663208,0.49230957,-0.18719482,-0.0009765625,-1.9669533e-05,0.00016021729,0.000102996826
0.19359402,-0.92697585,-19.021328,-0.024259748,0.13357303,2.6499271,-1161.3496,-544.20355,700.18536,2.0039482,15.852851,33.697563,-1161.7102,-544.1052,700.19006,2.003709,15.852373,33.69716,-1161.3625,-544.2031,700.18445,2.004012,15.852906,33.697723,0.3605957,-0.09832764,-0.004699707,0.00023913383,0.00047779083,0.0004043579,0.012939453,-0.0004272461,0.00091552734,-6.389618e-05,-5.531311e-05,-0.00016021729
0.43466416,-0.50416183,-19.025154,-0.049334176,0.13119417,2.6298265,-1144.016,-541.539,699.5484,0.71009845,15.443091,33.399487,-1140.5356,-541.7725,699.55865,0.7093951,15.441866,33.398422,-1144.9639,-541.0918,699.56964,0.70876336,15.4407625,33.396927,-3.4803467,0.23352051,-0.010253906,0.0007033348,0.0012254715,0.0010643005,0.947876,-0.4472046,-0.021240234,0.0013350844,0.0023288727,0.0025596619
0.50765,-0.7773711,-19.009268,-0.045413837,0.13375801,2.6607566,-1147.011,-542.74756,700.3523,1.0104669,15.882587,33.855003,-1146.329,-543.49994,700.3276,1.0119623,15.885366,33.85798,-1147.1588,-542.49927,700.39606,1.0073456,15.877107,33.850224,-0.68200684,0.7523804,0.024719238,-0.0014953613,-0.002779007,-0.0029754639,0.14782715,-0.24829102,-0.043762207,0.003121376,0.0054807663,0.0047798157
0.517667,-1.0334363,-19.026209,-0.03370078,0.12904835,2.6865697,-1149.0198,-543.3775,699.8472,1.3777337,15.071123,34.232468,-1152.5988,-544.432,699.76904,1.3825839,15.079924,34.24164,-1147.8115,-543.77954,699.85944,1.3762201,15.068742,34.231884,3.5789795,1.0545044,0.078186035,-0.004850149,-0.008800507,-0.009170532,-1.208252,0.40203857,-0.012207031,0.0015136003,0.0023813248,0.0005836487
