omega_matter,w,abs_mag,delta_mag,alpha,beta,exact_1,exact_2,exact_3,exact_4,exact_5,exact_6,first_1,first_2,first_3,first_4,first_5,first_6,second_1,second_2,second_3,second_4,second_5,second_6,exact_minus_first_1,exact_minus_first_2,exact_minus_first_3,exact_minus_first_4,exact_minus_first_5,exact_minus_first_6,exact_minus_second_1,exact_minus_second_2,exact_minus_second_3,exact_minus_second_4,exact_minus_second_5,exact_minus_second_6
0.132427,-0.5865506,-18.990326,-0.035397515,0.12690179,2.6707551,-1155.2344,-543.169,701.2456,1.2080702,14.709899,34.006634,-1155.6268,-543.1361,701.24554,1.2080684,14.709817,34.006557,-1155.2379,-543.16296,701.24677,1.2079695,14.709766,34.00632,0.39245605,-0.03289795,6.1035156e-05,1.7881393e-06,8.201599e-05,7.6293945e-05,0.003540039,-0.0060424805,-0.001159668,0.00010061264,0.00013256073,0.00031280518
0.16521303,-0.7305731,-19.014736,-0.036051117,0.12793133,2.661482,-1157.3829,-543.233,700.20575,1.2162182,14.885498,33.868797,-1157.3646,-543.23517,700.2055,1.216203,14.885458,33.868862,-1157.3828,-543.2332,700.2058,1.2161987,14.885462,33.86878,-0.018310547,0.0021972656,0.00024414062,1.5258789e-05,4.005432e-05,-6.484985e-05,-0.00012207031,0.00024414062,-6.1035156e-05,1.9550323e-05,3.6239624e-05,1.9073486e-05
0.39415509,-0.68814623,-19.011875,-0.050721053,0.13274328,2.6525862,-1148.7865,-542.649,700.12103,0.7150801,15.70933,33.73567,-1147.7441,-542.96747,700.1125,0.7155444,15.710308,33.736385,-1148.9949,-542.5019,700.1369,0.71397,15.707462,33.733635,-1.0423584,0.31848145,0.008544922,-0.00046432018,-0.0009784698,-0.0007171631,0.20837402,-0.14709473,-0.01586914,0.0011100769,0.0018672943,0.0020332336
0.12232653,-0.33824944,-19.01831,-0.04941547,0.13145255,2.6730692,-1145.6888,-541.40265,699.8322,0.7325578,15.492966,34.04274,-1147.3625,-541.11475,699.8486,0.73156756,15.491038,34.040924,-1145.5645,-541.42395,699.8381,0.7320766,15.491984,34.042347,1.673706,-0.28790283,-0.016357422,0.000990212,0.0019273758,0.0018157959,-0.12438965,0.02130127,-0.005859375,0.0004811883,0.0009813309,0.00039291382
0.13777493,-1.0289327,-19.005074,-0.047788057,0.13459314,2.6459363,-1167.5862,-544.9515,700.4507,0.9297935,16.029478,33.640392,-1167.0347,-544.81006,700.4722,0.92846376,16.026983,33.637653,-1167.5143,-544.9633,700.454,0.9296204,16.029024,33.63984,-0.5515137,-0.14141846,-0.02154541,0.00132972,0.002494812,0.0027389526,-0.071899414,0.01184082,-0.0032958984,0.00017309189,0.00045394897,0.0005531311
0.25403172,-0.5940285,-19.022816,-0.023702608,0.1278432,2.7197409,-1150.4956,-542.42474,700.07544,1.8191274,14.877225,34.734722,-1149.9464,-542.4481,700.07794,1.8189087,14.876924,34.73449,-1150.5519,-542.401,700.0762,1.8190731,14.877187,34.73474,-0.54919434,0.023376465,-0.0025024414,0.00021874905,0.00030136108,0.00023269653,0.056274414,-0.023742676,-0.0007324219,5.4359436e-05,3.8146973e-05,-1.9073486e-05
0.18100518,-0.44141674,-19.003979,-0.038616378,0.1289907,2.6652265,-1148.8137,-542.20654,700.61725,1.1401395,15.068898,33.925575,-1149.0487,-542.0652,700.6274,1.1395261,15.067734,33.924362,-1148.7926,-542.21747,700.6166,1.1401528,15.06891,33.92562,0.23498535,-0.14135742,-0.010131836,0.0006133318,0.0011644363,0.0012130737,-0.021118164,0.010925293,0.0006713867,-1.335144e-05,-1.1444092e-05,-4.5776367e-05
0.45965594,-0.57849526,-18.995535,-0.04277932,0.13007829,2.6834347,-1146.1093,-542.5155,700.9193,0.99358565,15.256852,34.19528,-1143.1193,-542.8946,700.922,0.99336016,15.256377,34.19486,-1146.9453,-542.06744,700.95044,0.99161303,15.253187,34.19182,-2.9899902,0.37908936,-0.0026855469,0.00022548437,0.0004749298,0.0004196167,0.8360596,-0.44805908,-0.03112793,0.0019726157,0.0036649704,0.0034599304
0.27622426,-1.1896604,-18.996967,-0.031777106,0.12712456,2.6550684,-1163.8605,-546.22614,701.06,1.3807735,14.741968,33.770096,-1167.2777,-545.9428,701.0303,1.3834069,14.746341,33.773422,-1163.7848,-546.4253,701.0202,1.3836622,14.747076,33.775093,3.4172363,-0.2833252,0.029724121,-0.0026333332,-0.0043725967,-0.003326416,-0.075683594,0.19915771,0.039794922,-0.0028886795,-0.0051078796,-0.0049972534
0.40307286,-0.94808537,-19.002396,-0.032420065,0.1305076,2.6957793,-1153.4009,-544.1756,700.8624,1.5038611,15.326319,34.37328,-1155.4307,-544.6003,700.8185,1.5067714,15.3314295,34.37835,-1152.9836,-544.3489,700.8583,1.50389,15.326451,34.374043,2.0297852,0.42468262,0.043945312,-0.0029103756,-0.0051107407,-0.0050697327,-0.41723633,0.17327881,0.0041503906,-2.8967857e-05,-0.00013256073,-0.00076293945
